kaesang , video apaan sih ini
mario hidayatullah , abang sound tracknya judulnya apa ?
fatkhan sepnanda , nama lagu nya apa ini ?
mohammad rizki , cringe sekali sih , pakai mim shooting star segala segala
moch yasser , judul lagu yang di intronya dong
wawan basuki , koplak
tapi menghibur
heriati siahaan , kocak
bintang bebey aulianissa husen , banyak ngakaknya
hari bcy , om mau tanya backsong di video ini judulnya apa
, 13 laporin ini aja omongan nya jelek <haha>
parji 73 , ngakak
nonton di tahun
faeyzha ardhanie , keren keren
hendra , judul lagu opening nya apa ya ?
meli sari , nama lagunya apa
nicarico music , yang nonton di 2018 angkat tangan
gustirizky rizky , editan nya epic abang mantap aku ngga bakalan bisa the best candra liow
astari adinda , demi apaapun sukak sekali sama edittannya , komedinya lagunya woi
semangat terus bikin videonya
radhiyatun mardhiyah , pakai hati
niko amri , backsound shooting stars
the jagoan , kaesang seperti boruto
hanif athari , lucu habis abang
misiliana christi , kaesang ya muka datar ngeselin tapi bikin ngakak mulu
anggi ranggina , sumpah ngakak
jordandreas , 0
4 checkpoint
yusuf iyuz7 , arap itu asik , cuma ngga enak dilihat mukanya
flora ath , orang sombong biasanya bikin orang kesel , bt , marah dulu
ini kalau sombong nya kaesang bikin gue sakit perut ngakak mulu
wuri handa yani , <haha> <haha>
zuchriyan alfin , mas chan kenapa kalau mas chandra aku dan a sama reza oktovian kenapa kgk ada ms tommy
allegra aewes , tuh lagu judulnya apaan abang
chandra danuarta , amplop paling gede ya dari kamu kamu
arap pas nikahan
ngakak bangsat bangsat
pttrinrlzh 27 , buncit ?
mksdnya abang ?
rizkky televisi , lagunya apa ya
quin mary , cma 18 sampai
nadhifah lisnahan , ngga lucu
krrysral firai , bucin artinya apa ?
dna channel , berkali kali lihat tetep ngakak
salsa arum , waduh parah banget iya kalau semacam itu
peluang bagi semua yang ingin mendapatkan uang tambahan
menyediakan pelayanan livechat 24 jam dengan dilayani oleh cs kami yang sangat imut dan cantik
ada pin bb
dan wa kami ditambah 855 88 33 07 8
bagas robyansyah , banyak rising star nya <haha>
m rusyda , 1 12
fajar anugrah , <haha> si arab pinus kelapa gading
sudah rab nitip aja kosan w dekat pinus kok <haha>
widhi putra , lagunya apa itu ya ?
taufik syahbandrio , hati hati internet
wahyu sanjaya , sombong dia ngomongnya
ervin drey , edit seperti gitu namanya apa ya ?
ada yang tahu edit kluar angkasa gtuh seperti chandraliow ?
indra mardika , anjaaaaay abang arab lucu banget muka loe kalau di protes sma abang kaesang , <haha>
melky bara , lagu yang di youtube rewind 2017
dmac di cool , tom mana ?
takeda yoshi , abang kamera nya ada kototan nya tuh
